Date,Average Temperature,Maximum temperature,Minimum temperature,Average relative humidity,Total rainfall,Average wind speed,AverageÂ visibility,Average pH,Maximam pH,Minimum pH,Average Sanility,Maximam Sanility,Minimum Sanility,Disease_Presence_Prob,Disease_Presence_Pred,Predicted_Disease_Type
2025-01-01,27.596436,33.277523,23.205307,64.7104,-6.2414317,19.380497,4.3505864,6.311279,8.248755,5.0004687,0.39782196,1.202405,0.08514208,0.0,0,Brown Spot
2025-01-02,27.315393,32.650105,23.276718,67.522095,-3.842912,19.331106,4.1741743,6.3112864,8.248151,4.999493,0.39846092,1.2011849,0.08292285,0.0,0,Brown Spot
2025-01-03,27.343487,32.530903,23.494932,69.597595,-2.4116237,19.322994,4.0931325,6.3113985,8.247697,4.9985733,0.3987053,1.2004838,0.08026286,0.0,0,Brown Spot
2025-01-04,27.531317,32.751186,23.718363,70.70189,-1.6629139,19.327982,3.9800851,6.311324,8.247418,4.997969,0.39895904,1.200419,0.077848054,0.0,0,Sheath Blight
2025-01-05,27.812681,33.196827,23.92699,71.09906,-1.3937582,19.368301,3.8302972,6.3110604,8.247247,4.9976854,0.39929068,1.2007732,0.07595383,0.0,0,Sheath Blight
2025-01-06,28.12323,33.742634,24.105648,71.07383,-1.4024345,19.441833,3.6485128,6.310689,8.247101,4.997638,0.39967427,1.2012974,0.07467804,0.0,0,Bacterial Leaf Blight
2025-01-07,28.412094,34.28031,24.25327,70.93589,-1.5063353,19.543745,3.4605272,6.3103166,8.246955,4.997743,0.39999753,1.2018064,0.07407471,0.0,0,Brown Spot
2025-01-08,28.638422,34.719128,24.362488,70.88824,-1.567407,19.655956,3.2823386,6.3100066,8.246787,4.9979033,0.40020725,1.2021474,0.07404547,0.0,0,Brown Spot
2025-01-09,28.779099,35.00095,24.434086,71.07099,-1.4911432,19.762445,3.1343892,6.3097878,8.246602,4.998063,0.40026048,1.2022531,0.07445229,0.0,0,Blast
2025-01-10,28.830282,35.105946,24.475615,71.54951,-1.2373415,19.851547,3.03951,6.3096557,8.24642,4.998198,0.40013552,1.202138,0.07512668,0.0,0,Brown Spot
2025-01-11,28.80268,35.045467,24.496056,72.29674,-0.8179945,19.914673,3.007348,6.3095913,8.246268,4.998299,0.3998509,1.2018588,0.075894594,0.0,0,Brown Spot
2025-01-12,28.709526,34.840683,24.496038,73.1792,-0.26957816,19.943157,2.999709,6.30958,8.2461815,4.9983525,0.39949614,1.2014405,0.07665572,0.0,0,Bacterial Leaf Blight
2025-01-13,28.58133,34.551,24.49003,74.121666,0.3293204,19.941153,3.0380518,6.309608,8.24618,4.998394,0.3990756,1.2010269,0.07730133,0.0,0,Blast
